round, demand, supply, price, demand-supply
1, 9.568133114314339, 58.13430328732141, 0.951433829826993, 48.566170173007066
2, 20.42817115981299, 60.19734145345869, 0.9116646595333473, 39.7691702936457
3, 28.0497480695255, 61.888374885479905, 0.8778260327173929, 33.838626815954406
4, 33.96268637333875, 63.343002039650415, 0.8484457170510812, 29.380315666311667
5, 40.00679250653331, 64.62598857733768, 0.8238265209802769, 24.61919607080437
6, 47.40387786904095, 65.71981721052157, 0.8055105816387963, 18.31593934148062
7, 55.301725026558046, 66.5464238408041, 0.7942658828245502, 11.24469881424605
8, 61.297336685600754, 67.05970335015036, 0.7885035161600006, 5.762366664549603
9, 64.66223353988315, 67.3244979195629, 0.7858412517803208, 2.6622643796797547
10, 66.27033912665996, 67.4472469572669, 0.7846643439497138, 1.176907830606936
11, 66.99030383532025, 67.50159460894194, 0.7841530531760922, 0.5112907736216954
12, 67.30465307640338, 67.52522131232402, 0.7839324849401715, 0.2205682359206378
13, 67.44054180030346, 67.53541678017771, 0.7838376099602973, 0.09487497987424831
14, 67.49904363386004, 67.5398028097857, 0.7837968507843717, 0.04075917592565759
15, 67.52418586279057, 67.54168719291397, 0.7837793494542483, 0.01750133012339461
16, 67.53498323616006, 67.54249633568602, 0.7837718363547224, 0.007513099525965572
17, 67.53961872603576, 67.54284369397149, 0.7837686113867867, 0.0032249679357363448
18, 67.54160854937335, 67.54299279677808, 0.783767227139382, 0.0013842474047294218
19, 67.54246264845332, 67.54305679603766, 0.7837666329917976, 0.0005941475843371791
20, 67.54282924738624, 67.54308426586414, 0.7837663779733197, 0.0002550184779011033
21, 67.54298659838643, 67.54309605639557, 0.7837662685153106, 0.00010945800913475523
22, 67.5430541360188, 67.54310111708098, 0.7837662215342485, 4.6981062183704125e-05
23, 67.54308312422232, 67.54310328920519, 0.7837662013692656, 2.0164982871051507e-05
24, 67.54309556640025, 67.5431042215138, 0.783766192714152, 8.655113546751636e-06
25, 67.54310090677036, 67.54310462167467, 0.7837661889992478, 3.7149043095041634e-06
26, 67.54310319893713, 67.5431047934297, 0.7837661874047552, 1.59449257353117e-06
27, 67.54310418276943, 67.54310486714954, 0.7837661867203751, 6.843801116929171e-07
28, 67.54310460504502, 67.54310489879119, 0.783766186426629, 2.9374616872246406e-07
29, 67.543104786292, 67.54310491237221, 0.7837661863005487, 1.26080209383872e-07
30, 67.54310486408593, 67.54310491820144, 0.7837661862464332, 5.411550318967784e-08
